,Shipment_ID,Week,Warehouse_ID,Store_ID,Carrier,Product_Category,Weight_kg,Delivery_Time_hrs,Fuel_Price_EUR_per_litre,Temperature_C,Promo_Flag,On_Time_Flag,Weekly_Sales_EUR,Notes,Dispatch_Time,Planned_Arrival_Time,Actual_Arrival_Time
0,SH00000,2024-02-18,C,S07,C3,Frozen,19.06,29.3,1.67,2.7,0,1,64724.47,No issue,,,
1,SH00001,2024-05-19,B,S05,C3,Grocery,10.35,30.4,1.61,2.5,0,1,61723.79,No issue,,,
2,SH00002,2024-04-14,C,S07,C1,Clothing,14.93,34.7,1.63,4.9,1,1,54098.4,Partial delivery,,,
3,SH00003,2024-03-17,B,S03,C3,Electronics,11.06,29.8,1.76,4.9,0,0,60609.65,Damaged carton,,,
4,SH00004,2024-02-25,C,S12,C1,Grocery,3.41,27.3,1.69,-0.7,0,0,55689.16,No issue,,,
5,SH00005,2024-02-18,A,S02,C3,Grocery,10.95,33.5,1.62,7.3,0,1,49865.79,No issue,,,
6,SH00006,2024-05-12,D,S06,C3,Frozen,19.04,16.2,1.76,0.7,1,0,57866.21,Driver delay,,,
7,SH00007,2024-03-17,C,S02,C4,Grocery,15.015,27.7,1.77,4.7,0,0,73699.47,No issue,,,
8,SH00008,2024-03-17,C,S03,C1,Grocery,16.51,24.2,1.67,7.7,0,0,59091.23,No issue,,,
9,SH00009,2024-01-28,D,S06,C1,Grocery,7.88,27.8,1.71,9.4,0,1,55269.57,Partial delivery,,,
10,SH00010,2024-02-25,C,S05,C1,Frozen,18.65,17.0,1.75,4.3,0,0,38838.24,No issue,,,
11,SH00011,2024-01-21,C,S08,C1,Clothing,19.29,34.6,1.74,4.9,1,0,73238.13,No issue,,,
12,SH00012,2024-01-14,B,S09,C1,Clothing,13.97,26.8,1.7,7.6,0,0,30894.27,No issue,,,
13,SH00013,2024-03-24,D,S11,C4,Grocery,13.98,29.6,1.84,6.7,0,0,26409.05,Damaged carton,,,
14,SH00014,2024-02-11,A,S03,C1,Electronics,10.16,29.1,1.76,4.0,0,0,57571.91,No issue,,,
15,SH00015,2024-01-14,C,S12,C1,Electronics,15.015,34.3,1.65,3.8,0,0,38788.6,No issue,,,
16,SH00016,2024-01-07,D,S10,C3,Clothing,25.19,18.7,1.66,3.6,0,0,68336.49,Driver delay,,,
