Shipment_ID,Week,Warehouse_ID,Store_ID,Carrier,Product_Category,Promo_Flag,Region,Mode,WH_Lat,WH_Lon,Store_Lat,Store_Lon,Distance_km,Weight_kg,Delivery_Time_hrs,Fuel_Price_EUR_per_litre,Weekly_Sales_EUR,Promised_Time_hrs,LateBy_hours,On_Time_Flag,Notes,Temperature_C
SH00000,2024-01-21,C,S04,C2,Electronics,0,South,Road,48.8,9.2,50.889606407753696,9.083717364576454,407.0,14.93,16.0,1.68,76117.25,16.0,0.0,1,,
SH00001,2024-02-04,D,S10,C2,Frozen,1,South,Road,52.5,13.4,48.94598796223939,10.293848149332355,508.2,,8.3,1.7,46021.6,16.0,-7.7,1,Driver delay,
SH00002,2024-05-12,C,S05,C3,Electronics,0,West,Air,48.8,9.2,49.86526280703252,8.971280021792982,370.0,17.05,8.0,1.59,73707.24,12.0,-4.0,1,,
SH00003,2024-02-18,B,S02,C1,Frozen,0,South,Road,50.1,8.7,49.723844269050346,11.761514928204013,493.6,14.5,19.0,1.66,30095.17,16.0,3.0,0,Damaged carton,
SH00004,2024-03-03,D,S04,C1,Electronics,0,South,Road,52.5,13.4,50.889606407753696,9.083717364576454,545.2,5.56,11.7,1.8,68941.16,20.0,-8.3,1,Partial delivery,
SH00005,2024-02-18,B,S02,C3,Grocery,0,South,Air,50.1,8.7,49.723844269050346,11.761514928204013,515.1,12.83,8.0,1.67,62638.5,8.0,0.0,1,,
SH00006,2024-05-05,A,S02,C2,Grocery,0,South,Road,49.4,11.0,49.723844269050346,11.761514928204013,454.0,19.09,18.3,1.7,57863.83,16.0,2.3,0,Partial delivery,
SH00007,2024-01-28,A,S04,C1,Grocery,0,South,Road,49.4,11.0,50.889606407753696,9.083717364576454,457.2,12.61,12.4,1.7,48852.59,16.0,-3.6,1,Partial delivery,
SH00008,2024-04-07,A,S06,C4,Grocery,1,South,Rail,49.4,11.0,49.86829115359377,8.46713512321487,417.4,15.76,20.2,1.68,61105.43,20.0,0.2,0,Partial delivery,
SH00009,2024-05-05,A,S07,C2,Clothing,0,West,Road,49.4,11.0,49.52098113578302,10.0433598776711,323.1,7.0,8.2,1.68,39808.96,16.0,-7.8,1,,
SH00010,2024-03-03,B,S10,C4,Grocery,0,South,Rail,50.1,8.7,48.94598796223939,10.293848149332355,461.6,22.57,22.4,,48962.13,20.0,2.4,0,Damaged carton,
SH00011,2024-01-14,D,S03,C3,Grocery,0,North,Air,52.5,13.4,48.68292331263833,9.08293152152541,298.2,22.07,9.0,,38398.85,8.0,1.0,0,,
SH00012,2024-05-19,D,S03,C3,Grocery,0,North,Air,52.5,13.4,48.68292331263833,9.08293152152541,282.1,15.43,8.0,1.71,58120.01,8.0,0.0,1,nan,
SH00013,2024-04-14,C,S10,C2,Frozen,0,South,Road,48.8,9.2,48.94598796223939,10.293848149332355,393.1,14.15,8.0,1.7,28977.88,16.0,-8.0,1,,
SH00014,2024-02-18,B,S06,C4,Clothing,0,South,Rail,50.1,8.7,49.86829115359377,8.46713512321487,507.4,1.62,26.9,1.69,51390.04,20.0,6.9,0,nan,
SH00015,2024-03-24,A,S12,C1,Clothing,0,East,Road,49.4,11.0,49.43376410234396,10.287625906893272,316.3,0.5,10.9,1.7,42530.89,16.0,-5.1,1,Partial delivery,
SH00016,2024-02-25,B,S03,C3,Grocery,0,North,Air,50.1,8.7,48.68292331263833,9.08293152152541,219.2,13.08,8.0,1.73,31091.85,8.0,0.0,1,nan,
SH00017,2024-04-14,C,S02,C1,Clothing,0,South,Road,48.8,9.2,49.723844269050346,11.761514928204013,419.2,12.49,20.2,1.73,32310.26,20.0,0.2,0,Damaged carton,
SH00018,2024-01-21,C,S08,C2,Clothing,1,East,Road,48.8,9.2,48.537541083743484,10.718856235379514,286.4,11.12,16.0,1.69,35260.77,16.0,0.0,1,,
