Ticket_ID,Order_ID,Customer_ID,Reported_Time,Issue_Type,Channel,Region,Customer_Segment,Priority,Agent_ID,Team,Backlog_At_Report,First_Response_Time,Resolution_Time,Response_Minutes,Resolution_Minutes,Handle_Minutes,Escalation_Flag,First_Contact_Resolution_Flag,Outcome,Repeat_Contact_Flag,Sentiment_Score,Customer_Effort_Score,CSAT_Score
TCK-249M6A2D,ORD-RPCW2II1TA,C-L7JKQ53,2025-10-01 12:50:00,Damaged item,Email,DE-South,B2C,Medium,AG-109,Returns,15,2025-10-01 13:13:00,2025-10-01 14:41:00,23,111,58,0,0,Resolved,0,-0.057,3,3
TCK-D9ZG3FSD,ORD-266A4U3SWV,C-2CBTKOA,2025-10-01 17:24:00,Address change,Email,DE-South,B2C,Medium,AG-104,Service-L2,18,2025-10-01 17:51:00,2025-10-01 19:34:00,27,130,43,0,0,Resolved,1,-0.396,4,3
TCK-UYS1WDXR,ORD-17M4IXA3QQ,C-RNIYWBJ,2025-10-01 17:26:00,Late status update,Email,DE-East,SMB,Low,AG-148,Service-L1,19,2025-10-01 18:09:00,2025-10-01 20:29:00,43,183,72,1,0,Resolved,0,0.567,4,4
TCK-130NZHWA,ORD-GGM0A5D88W,C-47Q4B2X,2025-10-01 18:20:00,Damaged item,WhatsApp,DE-East,Enterprise,Low,AG-136,Billing,21,2025-10-01 18:44:00,2025-10-01 21:44:00,24,204,164,0,1,Resolved,0,-0.025,3,3
TCK-WU9MHO64,ORD-CGI2YF253M,C-3J7FOK3,2025-10-01 18:20:00,Damaged item,Email,DE-West,B2C,Medium,AG-102,Returns,13,2025-10-01 18:35:00,2025-10-01 19:49:00,15,89,51,0,1,Resolved,0,-0.508,3,3
TCK-XP70I6BT,ORD-OIC2AT7FHV,C-SX3GLKB,2025-10-01 21:01:00,Wrong item,Email,DE-West,B2C,High,AG-140,Service-L2,16,2025-10-01 21:30:00,2025-10-01 22:35:00,29,94,28,0,1,Resolved,0,0.01,3,4
TCK-ACEYVSQO,ORD-VX60264ZBY,C-4P5G7PZ,2025-10-01 21:13:00,Billing dispute,Web form,DE-West,Enterprise,Medium,AG-121,Service-L1,21,2025-10-01 21:39:00,2025-10-02 01:42:00,26,269,163,0,1,Resolved,0,0.111,3,4
TCK-OF5UA40M,ORD-W7OPKTX08F,C-N42VYM8,2025-10-01 23:59:00,Late status update,Chat,DE-North,B2C,Low,AG-123,Service-L2,19,2025-10-02 00:10:00,2025-10-02 01:32:00,11,93,37,0,1,Resolved,0,0.238,3,4
TCK-BLMDVHTZ,ORD-ARW6Y4XI31,C-R7B6MT2,2025-10-02 02:57:00,Account access,Chat,CH,B2C,Medium,AG-110,Service-L1,22,2025-10-02 03:10:00,2025-10-02 05:35:00,13,158,102,0,1,Resolved,0,-0.147,3,3
TCK-6P79MGIR,ORD-FI0AWOZJRH,C-A5NK7NT,2025-10-02 05:25:00,Wrong item,Web form,DE-North,Enterprise,Low,AG-140,Service-L2,16,2025-10-02 05:46:00,2025-10-02 07:08:00,21,103,53,0,1,Resolved,0,0.146,3,4
TCK-88ALLHP6,ORD-A4LA6JHENE,C-GJUQKS1,2025-10-02 12:23:00,Delivery instruction,Email,DE-South,B2C,Medium,AG-116,Returns,23,2025-10-02 13:04:00,2025-10-02 14:30:00,41,127,30,0,1,Resolved,0,0.386,3,4
TCK-TH2L0IUX,ORD-NRCXYFT0D4,C-5BIDJDR,2025-10-02 15:26:00,Missing item,Email,DE-South,B2C,High,AG-113,Service-L2,17,2025-10-02 16:04:00,2025-10-02 17:42:00,38,136,76,0,0,Resolved,0,-0.173,3,3
TCK-ECSS4AGI,ORD-P3XIN1UDMA,C-QIKM5CD,2025-10-02 19:22:00,Product info,Web form,DE-South,B2C,Low,AG-145,Service-L1,17,2025-10-02 20:01:00,2025-10-02 20:46:00,39,84,34,0,0,Resolved,1,0.503,4,3
