Order_ID,Date,Week_Num,SKU,Zone,Order_Time,Pick_Start,Pick_End,Ship_Time,Picks,Workers_On_Shift,Shift_Hours,Demand,Receipt_Qty,On_Hand_Inventory,Backorder_Qty,Is_Promo,Price,On_Order_Qty,Lead_Time_Days
WO000001,2024-01-01,1,SKU-INV-001,A,2024-01-01 12:04:34.371709988,2024-01-01 12:22:04.707434858,2024-01-01 12:27:23.456944007,2024-01-01 12:47:37.758316628,40,8,8.12,23.0,83.0,360.0,0.0,,,0.0,7.0
WO000002,2024-01-01,1,SKU-INV-001,B,2024-01-01 14:31:33.811356105,2024-01-01 14:47:16.663750715,2024-01-01 14:53:13.985610003,2024-01-01 15:28:40.143464557,14,8,8.12,23.0,83.0,360.0,0.0,,,0.0,7.0
WO000003,2024-01-01,1,SKU-INV-001,A,2024-01-01 09:21:23.120473445,2024-01-01 09:45:44.409387040,2024-01-01 09:48:14.409387040,2024-01-01 10:30:22.181918453,14,8,8.12,23.0,83.0,360.0,0.0,,,0.0,7.0
WO000004,2024-01-01,1,SKU-INV-001,C,2024-01-01 11:27:53.585366230,2024-01-01 11:34:45.424021159,2024-01-01 11:41:55.565324070,2024-01-01 12:09:04.791376229,27,8,8.12,23.0,83.0,360.0,0.0,,,0.0,7.0
WO000005,2024-01-01,1,SKU-INV-001,A,2024-01-01 13:01:37.628705527,2024-01-01 13:12:16.734844509,2024-01-01 13:17:33.431139791,2024-01-01 13:35:00.961321182,27,8,8.12,23.0,83.0,360.0,0.0,,,0.0,7.0
WO000006,2024-01-01,1,SKU-INV-001,A,2024-01-01 08:23:22.863847057,2024-01-01 08:28:21.519327846,2024-01-01 08:33:25.910918916,2024-01-01 08:48:15.397134546,40,8,8.12,23.0,83.0,360.0,0.0,,,0.0,7.0
WO000007,2024-01-01,1,SKU-INV-001,A,2024-01-01 11:03:15.040052994,2024-01-01 11:22:18.440791614,2024-01-01 11:26:46.443166473,2024-01-01 11:51:35.359290688,27,8,8.12,23.0,83.0,360.0,0.0,,,0.0,7.0
WO000008,2024-01-01,1,SKU-INV-001,B,2024-01-01 13:37:52.401721741,2024-01-01 13:52:46.474620203,2024-01-01 13:56:13.035792797,2024-01-01 14:15:29.288913114,27,8,8.12,23.0,83.0,360.0,0.0,,,0.0,7.0
WO000009,2024-01-01,1,SKU-INV-001,A,2024-01-01 09:07:32.346336291,2024-01-01 09:34:49.373955405,2024-01-01 09:39:11.660173747,2024-01-01 09:57:27.596398710,40,8,8.12,23.0,83.0,360.0,0.0,,,0.0,7.0
WO000010,2024-01-01,1,SKU-INV-001,A,2024-01-01 12:37:30.123713523,2024-01-01 12:51:53.608410348,2024-01-01 12:56:31.781882492,2024-01-01 13:17:16.055672973,40,8,8.12,23.0,83.0,360.0,0.0,,,0.0,7.0
WO000011,2024-01-02,1,SKU-INV-001,A,2024-01-02 08:45:54.085620829,2024-01-02 09:00:20.661933132,2024-01-02 09:03:18.667023381,2024-01-02 09:36:40.052558436,11,11,8.04,15.0,0.0,345.0,0.0,,,0.0,5.0
WO000012,2024-01-02,1,SKU-INV-001,B,2024-01-02 12:12:35.540233482,2024-01-02 12:18:55.957799555,2024-01-02 12:21:25.957799555,2024-01-02 12:40:22.416677051,11,11,8.04,15.0,0.0,345.0,0.0,,,0.0,5.0
WO000013,2024-01-02,1,SKU-INV-001,B,2024-01-02 12:08:41.991654245,2024-01-02 12:15:54.200594842,2024-01-02 12:18:37.824016936,2024-01-02 12:53:09.572808172,11,11,8.04,15.0,0.0,345.0,0.0,,,0.0,5.0
WO000014,2024-01-02,1,SKU-INV-001,A,2024-01-02 08:12:41.476972580,2024-01-02 08:32:04.129235872,2024-01-02 08:35:24.206826290,2024-01-02 08:59:28.807143071,11,11,8.04,15.0,0.0,345.0,0.0,,,0.0,5.0
WO000015,2024-01-02,1,SKU-INV-001,C,2024-01-02 08:12:11.535640884,2024-01-02 08:26:31.681107975,2024-01-02 08:30:00.140801030,2024-01-02 09:00:11.423078959,11,11,8.04,15.0,0.0,345.0,0.0,,,0.0,5.0
WO000016,2024-01-02,1,SKU-INV-001,A,2024-01-02 14:26:32.003718962,2024-01-02 14:51:12.327882535,2024-01-02 14:55:13.754631466,2024-01-02 15:32:14.643221430,11,11,8.04,15.0,0.0,345.0,0.0,,,0.0,5.0
WO000017,2024-01-02,1,SKU-INV-001,B,2024-01-02 08:05:16.840020426,2024-01-02 08:34:24.441236378,2024-01-02 08:36:54.441236378,2024-01-02 09:24:58.249200805,11,11,8.04,15.0,0.0,345.0,0.0,,,0.0,5.0
WO000018,2024-01-02,1,SKU-INV-001,B,2024-01-02 11:34:46.310868933,2024-01-02 11:49:45.415720851,2024-01-02 11:55:15.828640217,2024-01-02 12:18:41.466410264,22,11,8.04,15.0,0.0,345.0,0.0,,,0.0,5.0
WO000019,2024-01-02,1,SKU-INV-001,B,2024-01-02 12:20:15.255565747,2024-01-02 12:37:18.120866604,2024-01-02 12:39:48.120866604,2024-01-02 13:10:19.619793310,11,11,8.04,15.0,0.0,345.0,0.0,,,0.0,5.0
WO000020,2024-01-02,1,SKU-INV-001,B,2024-01-02 15:44:59.840362212,2024-01-02 16:06:36.841942096,2024-01-02 16:09:06.841942096,2024-01-02 16:50:52.554514138,11,11,8.04,15.0,0.0,345.0,0.0,,,0.0,5.0
WO000021,2024-01-02,1,SKU-INV-001,B,2024-01-02 14:51:07.521539062,2024-01-02 14:55:48.570403500,2024-01-02 14:58:44.339971787,2024-01-02 15:34:03.010661986,11,11,8.04,15.0,0.0,345.0,0.0,,,0.0,5.0
WO000022,2024-01-02,1,SKU-INV-001,A,2024-01-02 08:15:17.403193753,2024-01-02 08:38:41.380366673,2024-01-02 08:41:11.380366673,2024-01-02 08:56:02.877052880,11,11,8.04,15.0,0.0,345.0,0.0,,,0.0,5.0
WO000023,2024-01-02,1,SKU-INV-001,A,2024-01-02 08:50:15.486797540,2024-01-02 09:07:44.281452988,2024-01-02 09:11:38.305781049,2024-01-02 09:38:40.805207966,11,11,8.04,15.0,0.0,345.0,0.0,,,0.0,5.0
WO000024,2024-01-02,1,SKU-INV-001,A,2024-01-02 11:18:05.731829692,2024-01-02 11:35:22.823882973,2024-01-02 11:39:44.005768431,2024-01-02 12:16:08.483574468,11,11,8.04,15.0,0.0,345.0,0.0,,,0.0,5.0
WO000025,2024-01-02,1,SKU-INV-001,A,2024-01-02 13:17:37.218240046,2024-01-02 13:30:22.183128812,2024-01-02 13:32:52.183128812,2024-01-02 13:51:51.265625522,11,11,8.04,15.0,0.0,345.0,0.0,,,0.0,5.0
WO000026,2024-01-02,1,SKU-INV-001,C,2024-01-02 15:03:42.596835558,2024-01-02 15:20:13.196936983,2024-01-02 15:22:43.196936983,2024-01-02 15:46:08.497993120,11,11,8.04,15.0,0.0,345.0,0.0,,,0.0,5.0
WO000027,2024-01-02,1,SKU-INV-001,B,2024-01-02 11:44:33.189074332,2024-01-02 12:01:06.926310038,2024-01-02 12:05:13.835123012,2024-01-02 12:41:34.215646723,11,11,8.04,15.0,0.0,345.0,0.0,,,0.0,5.0
WO000028,2024-01-03,1,SKU-INV-001,A,2024-01-03 12:19:57.652204327,2024-01-03 12:30:01.992931452,2024-01-03 12:32:52.835711627,2024-01-03 13:06:19.499266175,10,10,8.17,21.0,0.0,324.0,0.0,,,0.0,2.0
WO000029,2024-01-03,1,SKU-INV-001,A,2024-01-03 10:15:26.432720677,2024-01-03 10:33:39.557799797,2024-01-03 10:39:39.088046815,2024-01-03 11:10:23.923884010,20,10,8.17,21.0,0.0,324.0,0.0,,,0.0,2.0
WO000030,2024-01-03,1,SKU-INV-001,A,2024-01-03 11:32:08.927413382,2024-01-03 11:49:39.441899557,2024-01-03 11:52:09.441899557,2024-01-03 12:20:32.652024803,10,10,8.17,21.0,0.0,324.0,0.0,,,0.0,2.0
WO000031,2024-01-03,1,SKU-INV-001,A,2024-01-03 14:06:54.843834752,2024-01-03 14:25:26.605028619,2024-01-03 14:27:56.605028619,2024-01-03 14:58:03.836046933,10,10,8.17,21.0,0.0,324.0,0.0,,,0.0,2.0
WO000032,2024-01-03,1,SKU-INV-001,A,2024-01-03 08:50:26.621616077,2024-01-03 08:50:26.621616077,2024-01-03 08:52:56.621616077,2024-01-03 09:39:08.400050368,20,10,8.17,21.0,0.0,324.0,0.0,,,0.0,2.0
